[transformers] The following generation flags are not valid and may be ignored: ['cache_implementation']. Set `TRANSFORMERS_VERBOSITY=info` for more details.
Loading weights: 100%|██████████| 340/340 [00:02<00:00, 153.80it/s]
  0%|          | 10/14955 [00:02<1:04:32,  3.86it/s]
{'loss': '2.159', 'grad_norm': '16.57', 'learning_rate': '4.251e-05', 'epoch': '0.4494'}
{'loss': '1.992', 'grad_norm': '7.959', 'learning_rate': '4.248e-05', 'epoch': '0.4514'}
{'loss': '2.472', 'grad_norm': '25.36', 'learning_rate': '4.245e-05', 'epoch': '0.4534'}
{'loss': '2.16', 'grad_norm': '14.49', 'learning_rate': '4.241e-05', 'epoch': '0.4554'}
{'loss': '2.067', 'grad_norm': '10.32', 'learning_rate': '4.238e-05', 'epoch': '0.4574'}
{'loss': '1.98', 'grad_norm': '16.82', 'learning_rate': '4.235e-05', 'epoch': '0.4594'}
{'loss': '1.875', 'grad_norm': '11.31', 'learning_rate': '4.231e-05', 'epoch': '0.4614'}
{'loss': '1.96', 'grad_norm': '6.726', 'learning_rate': '4.228e-05', 'epoch': '0.4634'}
{'loss': '1.7', 'grad_norm': '13.43', 'learning_rate': '4.225e-05', 'epoch': '0.4654'}
{'loss': '2.121', 'grad_norm': '11.58', 'learning_rate': '4.221e-05', 'epoch': '0.4674'}
{'loss': '1.84', 'grad_norm': '26.93', 'learning_rate': '4.218e-05', 'epoch': '0.4695'}
{'loss': '1.849', 'grad_norm': '8.457', 'learning_rate': '4.215e-05', 'epoch': '0.4715'}
{'loss': '1.83', 'grad_norm': '22.63', 'learning_rate': '4.211e-05', 'epoch': '0.4735'}
{'loss': '2.172', 'grad_norm': '7.538', 'learning_rate': '4.208e-05', 'epoch': '0.4755'}
{'loss': '1.901', 'grad_norm': '8.299', 'learning_rate': '4.205e-05', 'epoch': '0.4775'}
{'loss': '2.584', 'grad_norm': '13.06', 'learning_rate': '4.201e-05', 'epoch': '0.4795'}
{'loss': '2.079', 'grad_norm': '10.48', 'learning_rate': '4.198e-05', 'epoch': '0.4815'}
{'loss': '2.306', 'grad_norm': '14.08', 'learning_rate': '4.195e-05', 'epoch': '0.4835'}
{'loss': '2.454', 'grad_norm': '33.57', 'learning_rate': '4.191e-05', 'epoch': '0.4855'}
{'loss': '1.961', 'grad_norm': '14.05', 'learning_rate': '4.188e-05', 'epoch': '0.4875'}
{'loss': '2.165', 'grad_norm': '8.948', 'learning_rate': '4.185e-05', 'epoch': '0.4895'}
{'loss': '1.898', 'grad_norm': '9.23', 'learning_rate': '4.181e-05', 'epoch': '0.4915'}
{'loss': '1.995', 'grad_norm': '12.27', 'learning_rate': '4.178e-05', 'epoch': '0.4935'}
{'loss': '1.886', 'grad_norm': '9.387', 'learning_rate': '4.175e-05', 'epoch': '0.4955'}
{'loss': '2.055', 'grad_norm': '14.37', 'learning_rate': '4.171e-05', 'epoch': '0.4975'}
{'loss': '1.702', 'grad_norm': '13.25', 'learning_rate': '4.168e-05', 'epoch': '0.4995'}
{'loss': '1.805', 'grad_norm': '10.77', 'learning_rate': '4.164e-05', 'epoch': '0.5016'}
